meter_id,user_id,area,timestamp,daily_units,monthly_units,peak_usage,cost,carbon_generated
MTR-1001,U-1001,Central,2026-01-01T00:00:00Z,18.4,540.2,24.8,142,14.7
MTR-1002,U-1002,North,2026-01-01T00:00:00Z,16.1,490.4,21.6,125,12.9
MTR-1003,U-1003,South,2026-01-01T00:00:00Z,22.3,617.5,29.4,179,17.8
MTR-1004,U-1004,East,2026-01-01T00:00:00Z,20.2,591.3,27.9,162,16.1
MTR-1005,U-1005,West,2026-01-01T00:00:00Z,17.7,515.4,23.3,138,14.1
MTR-1006,U-1006,Central,2026-01-02T00:00:00Z,19.8,560.7,25.9,154,15.8
MTR-1007,U-1007,North,2026-01-02T00:00:00Z,18.0,531.2,24.1,142,14.4
MTR-1008,U-1008,South,2026-01-02T00:00:00Z,24.4,673.9,32.2,196,19.5
MTR-1009,U-1009,East,2026-01-02T00:00:00Z,21.7,603.6,28.8,171,17.3
MTR-1010,U-1010,West,2026-01-02T00:00:00Z,18.9,549.2,24.6,147,15.1
